1183810:
 num     #instances         #bytes  class name (module)
 295:           539          17248  java.lang.module.ModuleDescriptor$Requires (java.base@17.0.15)
 296:          1067          17072  java.util.concurrent.atomic.AtomicBoolean (java.base@17.0.15)
 297:           531          16992  jdk.nio.zipfs.ByteArrayChannel (jdk.zipfs@17.0.15)
 298:           707          16968  net.minecraftforge.fml.loading.moddiscovery.NightConfigWrapper (fmlloader@1.20.1-47.4.13)
 299:           353          16944  net.minecraftforge.fml.loading.moddiscovery.ModFileInfo (fmlloader@1.20.1-47.4.13)
 300:           700          16800  sun.nio.ch.NativeThreadSet (java.base@17.0.15)
 301:          1047          16752  net.minecraft.util.datafix.schemas.V1460$$Lambda$2028/0x000000080085c830 (minecraft@1.20.1)
 302:           260          16640  java.lang.module.ModuleDescriptor (java.base@17.0.15)
 303:           339          16272  sun.security.x509.X500Name (java.base@17.0.15)
 304:          1014          16224  java.util.EnumMap$EntrySet (java.base@17.0.15)
 305:          1014          16224  java.util.EnumMap$Values (java.base@17.0.15)
 306:          1012          16192  java.util.EnumMap$KeySet (java.base@17.0.15)
 307:           500          16000  net.minecraftforge.accesstransformer.AccessTransformer (accesstransformers@8.0.4)
 308:           659          15816  net.minecraft.client.renderer.texture.SpriteContents$FrameInfo (minecraft@1.20.1)
 309:           647          15528  com.google.common.collect.ImmutableSortedMap$1EntrySet (com.google.common@31.1-jre)
